2017-02-17 14:41:09,016 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\test\resources
2017-02-17 14:57:50,254 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 14:57:50,255 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\main\resources
2017-02-17 14:57:50,258 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 14:57:50,260 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\test\resources
2017-02-17 15:09:45,335 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.lara:Logical:0.0.1-SNAPSHOT @ F:\WORKSPACES\LOGICAL\Logical\pom.xml.
2017-02-17 15:09:45,335 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.lara:Logical:0.0.1-SNAPSHOT @ F:\WORKSPACES\LOGICAL\Logical\pom.xml.
2017-02-17 15:09:55,951 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:09:55,954 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\main\resources
2017-02-17 15:09:56,343 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:09:56,343 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.lara:Logical:0.0.1-SNAPSHOT @ F:\WORKSPACES\LOGICAL\Logical\pom.xml.
2017-02-17 15:09:56,344 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\test\resources
2017-02-17 15:09:59,066 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:09:59,069 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\main\resources
2017-02-17 15:09:59,071 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:09:59,073 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\test\resources
2017-02-17 15:23:57,331 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:23:57,335 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\main\resources
2017-02-17 15:23:57,337 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:23:57,338 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\test\resources
2017-02-17 15:24:03,944 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:24:03,946 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\main\resources
2017-02-17 15:24:03,948 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:24:03,950 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\test\resources
2017-02-17 15:32:08,325 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-17 15:32:08,327 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WORKSPACES\LOGICAL\Logical\src\main\resources
